Name,Tender Name,Tender Type,Package No,Post Date,Closing Date,Currency,Price of Tender Document,Tender Description,Additional Information,Source of Funds,No. of Lots,Agency,Region,District,Contact Person,Email,Telphone,Fax,Website
Supply Of Media Equipment,Supply of Media Equipment,NCT,GR/NYA/NCT/GDS/25/001,"22nd April, 2025","08th May, 2025",Ghana Cedi,Gh¢500.00,"NO. 1
IFT/Package No: GR/NYA/NCT/GDS/25/001
Contract Description: Supply of Media Equipment
Location: Head Office - Accra
Completion Period: 45 days after signing of contract
Tender Security Amount: 2% of Tender Price","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payment of the under listed procurement.

2.	The National Youth Authority now invites  sealed Tenders from eligible  Suppliers for the procurement of Media Equipment. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003(Act 663) as amended and in the Guidelines of the Public Procurement Authority of the Republic Ghana.

3.	Interested eligible tenderers may obtain further information from the Office of the Chief Executive Officer and inspect the tender document at the address given below from 09:00 hours to 17:00 hours GMT on working days.

4.	Tender document (and additional copies) may be purchased at the address stated below for a non-refundable fee of Five Hundred Ghana Cedis (GH¢500.00) only, the document will be obtained personally and with an application letter. Tenderers are advised to use the address stated below for obtaining information, inspection and purchase of tender document. 

5.	Tenders must be deposited into the box located at the address below on or before 10:00 hours GMT 8th May, 2025 Tenders shall be valid for a period of 120 days after the deadline of tender submission.  All tenders must be accompanied by a Tender Security of the amount stated in the table above for the package.  Late Tenders will be rejected.  Tenders will be opened in the presence of the tenderer’s representatives who choose to attend at the Conference Room of the National Youth Authority at 10:30 hours GMT on 8th MAY, 2025.

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302984293

ii) Address for Tender submission and opening 
Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,1,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302984293,,
Provision Of Cleaning/janitorial Services,Provision of Cleaning/Janitorial Services,NCT,GHS/GARH/TS/NCT/CLSERV/MAB/25/01,"21st April, 2025","30th April, 2025",Ghana Cedi,Gh¢500.00,"The Greater Accra Regional Hospital (GARH), Ridge intends to apply part of its Internally Generated Funds (IGF) for payment under contract for the

Provision of Cleaning/Janitorial Services for the Main Admissions Building","Tender Security - 2% of the Total Tender Value 

It is mandatory that tenderers include in their tender the underlisted statutory requirements which must be valid as at the date of tender opening as specified in the tender document.
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate
•	Valid Certificate of Registration
•	Valid Certificate of Incorporation 
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA 
•	Valid License from Ministry of Interior where applicable",Internally Generated Funds,1,Greater Accra Regional Hospital,Greater Accra,Accra Metropolitan District,"Procurement Unit, 2nd Floor (In the Logistics Building), Greater Accra Regional Hospital, Ridge, Accra",info@garh.gov.gh,0244865916,,
Provision Of Cleaning And Janitorial Services For The Logistics Buildi...,Provision of Cleaning and Janitorial Services for the Logistics Building,NCT,GHS/GARH/TS/NCT/CLSERV/LBCSAB/25/02,"21st April, 2025","30th April, 2025",Ghana Cedi,Gh¢500.00,"The Greater Accra Regional Hospital (GARH), Ridge intends to apply part of its Internally Generated Funds (IGF) for payment under contract for the Provision of Cleaning/Janitorial Services.

The Greater Accra Regional Hospital (GARH), Ridge now invites sealed tenders from eligible and qualified tenderers for the procurement of the description below:

Provision of Cleaning/Janitorial Services for the Logistics Building, Corridors and Surroundings at the Staff Accommodation Building.","All tenders must be accompanied by a Tender Security of 2% of the Total Tender Value.
It is mandatory that tenderers include in their tender the underlisted statutory requirements which must be valid as at the date of tender opening as specified in the tender document.
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate
•	Valid Certificate of Registration
•	Valid Certificate of Incorporation 
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA 
•	Valid License from Ministry of Interior where applicable",Internally Generated Funds,1,Greater Accra Regional Hospital,Greater Accra,Accra Metropolitan District,"Procurement Unit, 2nd Floor (In the Logistics Building), Greater Accra Regional Hospital, Ridge, Accra",info@garh.gov.gh,0244865916,,
Provision Of Cleaning/janitorial Services For Mortuary Buildings,Provision of Cleaning/Janitorial Services for Mortuary Buildings,NCT,GHS/GARH/TS/NCT/CLSERV/ONMB/25/03,"21st April, 2025","30th April, 2025",Ghana Cedi,Gh¢500.00,"The Greater Accra Regional Hospital (GARH), Ridge intends to apply part of its Internally Generated Funds (IGF) for payment under contract for the Provision of Cleaning/Janitorial Services.

The Greater Accra Regional Hospital (GARH), Ridge now invites sealed tenders from eligible and qualified tenderers for the procurement of the description below:

Provision of Cleaning/Janitorial Services for the Old and New Mortuary Buildings","All tenders must be accompanied by a Tender Security of 2% of the Total Tender Value.
It is mandatory that tenderers include in their tender the underlisted statutory requirements which must be valid as at the date of tender opening as specified in the tender document.
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate
•	Valid Certificate of Registration
•	Valid Certificate of Incorporation 
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA 
•	Valid License from Ministry of Interior where applicable",Internally Generated Funds,1,Greater Accra Regional Hospital,Greater Accra,Accra Metropolitan District,"Procurement Unit, 2nd Floor (In the Logistics Building), Greater Accra Regional Hospital, Ridge, Accra",info@garh.gov.gh,0244865916,,
Provision Of Horticulture Services For The Old And New Buildings,Provision of Horticulture Services for the Old and New Buildings,NCT,GHS/GARH/TS/NCT/HORTSERV/ONB/25/01,"21st April, 2025","30th April, 2025",Ghana Cedi,Gh¢500.00,"The Greater Accra Regional Hospital (GARH), Ridge intends to apply part of its Internally Generated Funds (IGF) for payment under contract for the Provision of Cleaning/Janitorial Services.

The Greater Accra Regional Hospital (GARH), Ridge now invites sealed tenders from eligible and qualified tenderers for the procurement of the description below:

Provision of Horticulture Services for the Old and New Buildings","All tenders must be accompanied by a Tender Security of 2% of the Total Tender Value.
It is mandatory that tenderers include in their tender the underlisted statutory requirements which must be valid as at the date of tender opening as specified in the tender document.
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate
•	Valid Certificate of Registration
•	Valid Certificate of Incorporation 
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA 
•	Valid License from Ministry of Interior where applicable",Internally Generated Funds,1,Greater Accra Regional Hospital,Greater Accra,Accra Metropolitan District,"Procurement Unit, 2nd Floor (In the Logistics Building), Greater Accra Regional Hospital, Ridge, Accra",info@garh.gov.gh,0244865916,,
Provision Of Security Services,Provision of Security Services,NCT,GHS/GARH/TS/NCT/SECSERV/MAB/20/01,"21st April, 2025","30th April, 2025",Ghana Cedi,Gh¢500.00,"The Greater Accra Regional Hospital (GARH), Ridge intends to apply part of its Internally Generated Funds (IGF) for payment under contract for the Provision of Security Services.

The Greater Accra Regional Hospital (GARH), Ridge now invites sealed tenders from eligible and qualified tenderers for the procurement of the description below:

Provision of Security Services for Main Admission Building","All tenders must be accompanied by a Tender Security of 2% of the Total Tender Value.
It is mandatory that tenderers include in their tender the underlisted statutory requirements which must be valid as at the date of tender opening as specified in the tender document.
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate
•	Valid Certificate of Registration
•	Valid Certificate of Incorporation 
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA 
•	Valid License from Ministry of Interior where applicable",Internally Generated Funds,1,Greater Accra Regional Hospital,Greater Accra,Accra Metropolitan District,"Procurement Unit, 2nd Floor (In the Logistics Building), Greater Accra Regional Hospital, Ridge, Accra",info@garh.gov.gh,0244865916,,
Supply Of Stationery,SUPPLY OF STATIONERY,NCT,STU/NCT/ FWA/GDS/2025/001,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,SUPPLY OF STATIONERY,"1.	The Sunyani Technical University intends to apply part of its Internally Generated Fund (IGF) to fund eligible payments under Call-off Contracts that may be awarded under the Framework Agreements (FWAs) concluded through this IFT Primary Procurement process for the Procurement of Stationery, Toners, Drugs, Medical Consumables and  Cleaning Materials.

2.	The Sunyani Technical University is undertaking the Primary Procurement with a view to concluding Framework Agreements. The Sunyani Technical University is the sole Entity under the Framework Agreement[s]. 

3.	 The Sunyani Technical University now invites sealed Tenders from eligible Tenderers for the Procurement of Stationery, Toners, Drugs, Medical Consumables and Cleaning Materials over the Term of the Framework Agreement(s).


4.	The Framework Agreement to be concluded will be “Single-User.” “The Single-User entitled to procure under the Framework Agreement is Sunyani Technical University.

5.	Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and The Guidelines on Framework Agreement issued by the Public Procurement Authority.

6.	Tenderers may submit Tenders for one or more “lots”. However, contract will be awarded on Lot basis

7.	The Framework Agreement(s) shall be concluded for a Term of One (1) year from the commencement date stated in the Framework Agreement. 

8.	The Primary Procurement shall establish a Closed Framework Agreement(s). This means no new firm(s) may conclude Framework Agreement during the Term of Framework Agreement.

9.	Interested eligible Tenderers may obtain further information from The Procurement unit, First Floor, Stores Block, Sunyani Technical University, Sunyani and inspect the Tender document during office hours from 8:30am to 5:00pm. 

10.	 A complete set of Tender documents in English may be purchased by interested Tenderers to the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for the tender document. The document will be obtained personally. 

11.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University on or before 10:00 hours GMT, Thursday 15th   May, 2025.

12.	Tenders shall be valid for a period of 365 days after the deadline of Tender submission. All Tenders must be accompanied by a completed tender securing declaration. Late Tenders will be rejected. 

13.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th   May, 2025.


14.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly demanded: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Pharmacy Council License Certificate( for Drugs)
•	Food and Drug Authority (FDA) Certificate( for Drugs)
•	Completed Tender Securing Declaration.


Address for Inspecting and purchasing Tender Documents
For further enquiries please contact:",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Supply Of Toners,SUPPLY OF TONERS,NCT,STU/NCT/ FWA/GDS/2025/002,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,SUPPLY OF TONERS,"1.	The Sunyani Technical University intends to apply part of its Internally Generated Fund (IGF) to fund eligible payments under Call-off Contracts that may be awarded under the Framework Agreements (FWAs) concluded through this IFT Primary Procurement process for the Procurement of Stationery, Toners, Drugs, Medical Consumables and  Cleaning Materials.

2.	The Sunyani Technical University is undertaking the Primary Procurement with a view to concluding Framework Agreements. The Sunyani Technical University is the sole Entity under the Framework Agreement[s]. 

3.	 The Sunyani Technical University now invites sealed Tenders from eligible Tenderers for the Procurement of Stationery, Toners, Drugs, Medical Consumables and Cleaning Materials over the Term of the Framework Agreement(s).


4.	The Framework Agreement to be concluded will be “Single-User.” “The Single-User entitled to procure under the Framework Agreement is Sunyani Technical University.

5.	Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and The Guidelines on Framework Agreement issued by the Public Procurement Authority.

6.	Tenderers may submit Tenders for one or more “lots”. However, contract will be awarded on Lot basis

7.	The Framework Agreement(s) shall be concluded for a Term of One (1) year from the commencement date stated in the Framework Agreement. 

8.	The Primary Procurement shall establish a Closed Framework Agreement(s). This means no new firm(s) may conclude Framework Agreement during the Term of Framework Agreement.

9.	Interested eligible Tenderers may obtain further information from The Procurement unit, First Floor, Stores Block, Sunyani Technical University, Sunyani and inspect the Tender document during office hours from 8:30am to 5:00pm. 

10.	 A complete set of Tender documents in English may be purchased by interested Tenderers to the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for the tender document. The document will be obtained personally. 

11.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University on or before 10:00 hours GMT, Thursday 15th   May, 2025.

12.	Tenders shall be valid for a period of 365 days after the deadline of Tender submission. All Tenders must be accompanied by a completed tender securing declaration. Late Tenders will be rejected. 

13.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th   May, 2025.


14.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly demanded: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Pharmacy Council License Certificate( for Drugs)
•	Food and Drug Authority (FDA) Certificate( for Drugs)
•	Completed Tender Securing Declaration.


Address for Inspecting and purchasing Tender Documents
For further enquiries please contact:",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Supply Of Drugs,SUPPLY OF DRUGS,NCT,STU/NCT/ FWA/GDS/2025/003,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,SUPPLY OF DRUGS,"1.	The Sunyani Technical University intends to apply part of its Internally Generated Fund (IGF) to fund eligible payments under Call-off Contracts that may be awarded under the Framework Agreements (FWAs) concluded through this IFT Primary Procurement process for the Procurement of Stationery, Toners, Drugs, Medical Consumables and  Cleaning Materials.

2.	The Sunyani Technical University is undertaking the Primary Procurement with a view to concluding Framework Agreements. The Sunyani Technical University is the sole Entity under the Framework Agreement[s]. 

3.	 The Sunyani Technical University now invites sealed Tenders from eligible Tenderers for the Procurement of Stationery, Toners, Drugs, Medical Consumables and Cleaning Materials over the Term of the Framework Agreement(s).


4.	The Framework Agreement to be concluded will be “Single-User.” “The Single-User entitled to procure under the Framework Agreement is Sunyani Technical University.

5.	Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and The Guidelines on Framework Agreement issued by the Public Procurement Authority.

6.	Tenderers may submit Tenders for one or more “lots”. However, contract will be awarded on Lot basis

7.	The Framework Agreement(s) shall be concluded for a Term of One (1) year from the commencement date stated in the Framework Agreement. 

8.	The Primary Procurement shall establish a Closed Framework Agreement(s). This means no new firm(s) may conclude Framework Agreement during the Term of Framework Agreement.

9.	Interested eligible Tenderers may obtain further information from The Procurement unit, First Floor, Stores Block, Sunyani Technical University, Sunyani and inspect the Tender document during office hours from 8:30am to 5:00pm. 

10.	 A complete set of Tender documents in English may be purchased by interested Tenderers to the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for the tender document. The document will be obtained personally. 

11.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University on or before 10:00 hours GMT, Thursday 15th   May, 2025.

12.	Tenders shall be valid for a period of 365 days after the deadline of Tender submission. All Tenders must be accompanied by a completed tender securing declaration. Late Tenders will be rejected. 

13.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th   May, 2025.


14.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly demanded: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Pharmacy Council License Certificate( for Drugs)
•	Food and Drug Authority (FDA) Certificate( for Drugs)
•	Completed Tender Securing Declaration.


Address for Inspecting and purchasing Tender Documents
For further enquiries please contact:",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
Supply Of Medical Consumables,SUPPLY OF MEDICAL CONSUMABLES,NCT,STU/NCT/FWA/GDS/2025/004,"15th April, 2025","15th May, 2025",Ghana Cedi,Gh¢400.00,SUPPLY OF MEDICAL CONSUMABLES,"1.	The Sunyani Technical University intends to apply part of its Internally Generated Fund (IGF) to fund eligible payments under Call-off Contracts that may be awarded under the Framework Agreements (FWAs) concluded through this IFT Primary Procurement process for the Procurement of Stationery, Toners, Drugs, Medical Consumables and  Cleaning Materials.

2.	The Sunyani Technical University is undertaking the Primary Procurement with a view to concluding Framework Agreements. The Sunyani Technical University is the sole Entity under the Framework Agreement[s]. 

3.	 The Sunyani Technical University now invites sealed Tenders from eligible Tenderers for the Procurement of Stationery, Toners, Drugs, Medical Consumables and Cleaning Materials over the Term of the Framework Agreement(s).


4.	The Framework Agreement to be concluded will be “Single-User.” “The Single-User entitled to procure under the Framework Agreement is Sunyani Technical University.

5.	Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended and The Guidelines on Framework Agreement issued by the Public Procurement Authority.

6.	Tenderers may submit Tenders for one or more “lots”. However, contract will be awarded on Lot basis

7.	The Framework Agreement(s) shall be concluded for a Term of One (1) year from the commencement date stated in the Framework Agreement. 

8.	The Primary Procurement shall establish a Closed Framework Agreement(s). This means no new firm(s) may conclude Framework Agreement during the Term of Framework Agreement.

9.	Interested eligible Tenderers may obtain further information from The Procurement unit, First Floor, Stores Block, Sunyani Technical University, Sunyani and inspect the Tender document during office hours from 8:30am to 5:00pm. 

10.	 A complete set of Tender documents in English may be purchased by interested Tenderers to the address below and upon the payment of a non-refundable fee of Four Hundred Ghana Cedis, (GHC 400.00) for the tender document. The document will be obtained personally. 

11.	Completed Tender document must be deposited into the Tender box located at the Council Chamber, Ground Floor of Main Administration Block, Sunyani Technical University on or before 10:00 hours GMT, Thursday 15th   May, 2025.

12.	Tenders shall be valid for a period of 365 days after the deadline of Tender submission. All Tenders must be accompanied by a completed tender securing declaration. Late Tenders will be rejected. 

13.	Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend the meeting at the Council Chamber of the Sunyani Technical University at 10:00 hours GMT on Thursday 15th   May, 2025.


14.	Notwithstanding the general requirements stated in the Tender Documents, the underlisted statutory documents are expressly demanded: 

•	Valid GRA Tax Clearance Certificate. 
•	Valid SSNIT Clearance Certificate. 
•	Valid VAT Registration Certificate.
•	Valid Business Registration Certificate (with evidence of up-to-date annual renewal receipt)
•	Valid Registration Certificate from Public Procurement Authority (PPA).
•	Pharmacy Council License Certificate( for Drugs)
•	Food and Drug Authority (FDA) Certificate( for Drugs)
•	Completed Tender Securing Declaration.

Address for Inspecting and purchasing Tender Documents
For further enquiries please contact:",Internally Generated Funds,1,Sunyani Technical university,Brong-Ahafo,Sunyani Municipal,THE PROCUREMENT OFFICER	 					SUNYANI TECHNICAL UNIVERSITY 					P.O.BOX 206 					SUNYANI-BONO REGION,enquiries@stu.edu.gh,"03520 27052, 24924 +233 24 546 0111",,
